layers,depth,num_examples,acc,loss
2,0,81,0.8024691358024691,0.5721590121587118
2,1,82,0.7195121951219512,0.6354281008243561
2,2,79,0.569620253164557,0.6896601915359497
2,3,81,0.5679012345679012,0.6640698115030924
2,4,78,0.3717948717948718,0.7797594904899597
2,5,84,0.4166666666666667,0.7563733657201132
2,6,75,0.30666666666666664,0.8087355613708496
4,0,81,0.8024691358024691,0.5446860243876775
4,1,82,0.7195121951219512,0.6204394896825155
4,2,79,0.569620253164557,0.6871533870697022
4,3,81,0.5679012345679012,0.6568402796983719
4,4,78,0.3717948717948718,0.7898342132568359
4,5,84,0.4166666666666667,0.7711595594882965
4,6,75,0.30666666666666664,0.8359503507614136
6,0,81,0.8395061728395061,0.4575948218504588
6,1,82,0.7195121951219512,0.6071645567814509
6,2,79,0.569620253164557,0.6621210694313049
6,3,81,0.5679012345679012,0.615410769979159
6,4,78,0.3717948717948718,0.8101470589637756
6,5,84,0.4166666666666667,0.7787564595540365
6,6,75,0.30666666666666664,0.8710165023803711
8,0,81,0.8518518518518519,0.5246211389700571
8,1,82,0.5853658536585366,0.673200935125351
8,2,79,0.6455696202531646,0.6290439128875732
8,3,81,0.654320987654321,0.647961437702179
8,4,78,0.6923076923076923,0.5581781744956971
8,5,84,0.6785714285714286,0.5912020405133566
8,6,75,0.7466666666666667,0.5372039377689362
12,0,81,0.8024691358024691,1.0363426555541082
12,1,82,0.7439024390243902,1.6485441426436107
12,2,79,0.6455696202531646,1.8018278121948241
12,3,81,0.654320987654321,2.6615591247876487
12,4,78,0.7051282051282052,1.404536533355713
12,5,84,0.5833333333333334,2.27952378988266
12,6,75,0.7333333333333333,1.3033411741256713
